year,ssp119,ssp126,ssp245,ssp370,ssp585
2020,0.074,0.074,0.073,0.073,0.074
2030,0.141,0.141,0.139,0.141,0.147
2040,0.207,0.214,0.217,0.224,0.237
2050,0.289,0.303,0.317,0.331,0.353
2060,0.361,0.386,0.416,0.443,0.479
2070,0.449,0.486,0.534,0.58,0.633
2080,0.53,0.584,0.662,0.735,0.811
2090,0.62,0.68,0.794,0.906,1.015
2100,0.704,0.778,0.939,1.108,1.242
2110,0.781,0.874,1.08,1.277,1.476
2120,0.865,0.973,1.22,1.467,1.698
2130,0.945,1.07,1.359,1.657,1.919
2140,1.022,1.162,1.498,1.846,2.132
2150,1.1,1.255,1.635,2.031,2.335
